,rest_type,url
0,Lebanese,https://img.freepik.com/free-photo/side-view-vegetarian-steak-tartar-balls-with-slices-lemon-greens-fresh-tomato-plate_141793-5156.jpg?size=626&ext=jpg
1,Lebanese,https://img.freepik.com/free-photo/falafel-hummus-pita-middle-eastern-arabic-dishes-halal-food-top-view-copy-space_2829-14258.jpg?size=626&ext=jpg
2,Lebanese,https://img.freepik.com/free-photo/falafel-hummus-pita-middle-eastern-arabic-dishes-halal-food-top-view-copy-space_2829-14288.jpg?size=626&ext=jpg
3,Lebanese,https://img.freepik.com/free-photo/tortilla-wrap-with-falafel-fresh-salad-vegan-tacos-vegetarian-healthy-food-top-view_2829-14380.jpg?size=626&ext=jpg
4,Lebanese,https://img.freepik.com/free-photo/outdoor-lunch-with-salads-olives-bread_140725-3043.jpg?size=626&ext=jpg
5,Lebanese,https://img.freepik.com/premium-photo/various-turkish-dishes-pide-pizza-meat-kebab-with-tabbouleh-salad-falafel-hummus-olives-pistachios-middle-eastern-meze-black-concrete-table-top-view-ethnic-arab-food-cuisine-turkey_92134-2603.jpg?size=626&ext=jpg
6,Lebanese,https://img.freepik.com/premium-photo/tortilla-wrap-with-falafel-fresh-salad_2829-3418.jpg?size=626&ext=jpg
7,Lebanese,https://img.freepik.com/free-photo/sweet-potato-falafel-recipe-idea-vegan_53876-126682.jpg?size=626&ext=jpg
8,Lebanese,https://img.freepik.com/free-photo/pakistani-food-wooden-board-flat-lay_23-2148825095.jpg?size=626&ext=jpg
9,Lebanese,https://img.freepik.com/premium-photo/haydari-appetizer-traditional-turkish-arabic-cuisine-meze-snack-meal-served-alongside-main-course-natural-vegetarian-food-local-name-haydari-mezesi_659681-3025.jpg?size=626&ext=jpg
10,Lebanese,https://img.freepik.com/premium-photo/large-laid-table-different-dishes-whole-family-day-off_127425-26.jpg?size=626&ext=jpg
11,Lebanese,https://img.freepik.com/free-vector/vector-set-spanish-tasty-food-mussels-jamon-bone-baguette-calzone-seafood-soup-green-beans-spinach-puree_1268-13864.jpg?size=626&ext=jpg
12,Lebanese,https://img.freepik.com/free-vector/watercolor-turkish-food-illustration_52683-81898.jpg?size=626&ext=jpg
13,Lebanese,https://img.freepik.com/free-photo/pide-lahmajun-served-with-salad-greens-lemon-lentil-soup-ayran_140725-8755.jpg?size=626&ext=jpg
14,Lebanese,https://img.freepik.com/free-photo/top-view-delicious-kebab-with-meat-copy-space_23-2148685537.jpg?size=626&ext=jpg
15,Lebanese,https://img.freepik.com/premium-photo/falafel-traditional-dish-israeli-middle-eastern-cuisine_266870-12121.jpg?size=626&ext=jpg
16,Lebanese,https://img.freepik.com/free-photo/falafel-hummus-pita-middle-eastern-arabic-dishes_2829-14253.jpg?size=626&ext=jpg
17,Lebanese,https://img.freepik.com/free-photo/azerbaijani-kutab-gozleme-finely-roasted-served-ceramic-long-plate_114579-1890.jpg?size=626&ext=jpg
18,Lebanese,https://img.freepik.com/free-photo/side-view-doner-plate-with-french-fries-tomato-fresh-cucumber-yogurt-bread-table_141793-4969.jpg?size=626&ext=jpg
19,Lebanese,https://img.freepik.com/free-photo/chickpea-hummus-rustic-wooden-table_123827-22472.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
20,Lebanese,https://img.freepik.com/free-photo/side-view-lahmacun-with-ground-meat-onion-tomato-garlic-greens-slice-lemon_141793-4980.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
21,Lebanese,https://img.freepik.com/premium-photo/fresh-falafel-with-vegetables-tzatziki-sauce-white-plate-marble-table_109656-1809.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
22,Lebanese,https://img.freepik.com/premium-photo/assorted-mix-mezza-with-falafel-pita-bread-salad-hummusm-served-dish-side-food-set_689047-1431.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
23,Lebanese,https://img.freepik.com/free-vector/hand-drawn-greek-cuisine_23-2149313595.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
24,Lebanese,https://img.freepik.com/premium-photo/assorted-indian-foods-murgh-nizami-kebabchakori-kebab-makrana-kebabchicken-biryaniegg-biryani-afghani-tandoori-chicken-wooden-background-dishes-appetizers-indian-cuisine_726363-381.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
25,Lebanese,https://img.freepik.com/free-photo/sadj-with-other-food-table_140725-3691.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
26,Lebanese,https://img.freepik.com/free-photo/azeri-set-mangal-cheese-vegetables-olives-pickles-top-view_141793-2322.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
27,Lebanese,https://img.freepik.com/free-photo/grape-leaves-dolma-minced-meat-grape-leaves-plain-youghurt-spices-side-view_141793-3734.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
28,Lebanese,https://img.freepik.com/free-photo/turkish-pide-with-melted-cheese-tomato-lemon-chopped-parsley_114579-2919.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
29,Lebanese,https://img.freepik.com/free-photo/various-salads-table_140725-10048.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
30,Lebanese,https://img.freepik.com/premium-photo/tabboule-appetizer-traditional-turkish-arabic-cuisine-meze-snack-meal-served-alongside-main-course-natural-vegetarian-food-bulk-appetizer-plates-local-name-taboule-mezze_659681-3022.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
31,Lebanese,https://img.freepik.com/free-photo/turkish-breakfast-shakshuka-olives-cheese-fruit_2829-11305.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
32,Lebanese,https://img.freepik.com/free-photo/side-view-lahmajun-with-ground-meat-greens-lemons-tray_141793-3653.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
33,Lebanese,https://img.freepik.com/premium-vector/arabic-food-restaurant-menu-sketch-banner-vector-doner-kebab-baklava-baba-ghanoush-shish-lokum-hummus-falafel-kofta-cooking-culinary-recipes-middle-east-traditional-dishes_87689-3986.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=robertav1_2_sidr
34,Lebanese,https://img.freepik.com/free-photo/spicy-meat-with-lemon-pickles_140725-1869.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
35,Lebanese,https://img.freepik.com/free-photo/arabic-apetizer-humus-with-yogurt-tomato-sauce-with-herbs_114579-2873.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
36,Lebanese,https://img.freepik.com/free-photo/close-up-turkish-stuffed-meatballs-ichli-kofte-served-with-lemon-tomato-parsley_141793-2078.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
37,Lebanese,https://img.freepik.com/premium-photo/table-served-with-middle-eastern-traditional-dishes-bowl-with-falafel-doner-kebap-hummus_92134-349.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
38,Lebanese,https://img.freepik.com/free-photo/tortilla-wrap-with-falafel-fresh-salad-vegan-tacos-vegetarian-healthy-food_2829-6193.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
39,Lebanese,https://img.freepik.com/premium-photo/middle-eastern-arabic-dishes-assorted-meze-white-table-background-falafel-chicken-shawarma-sandwich-chicken-plate-hummus-tabbouleh-tabouli-lebanese-bread-halal-food-lebanese-cuisine_262663-820.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
40,Lebanese,https://img.freepik.com/free-photo/top-view-cooked-vegetables-such-as-red-tomatoes-green-bell-pepper-black-eggplants-potatoes-inside-plate-plate_140725-14289.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
41,Lebanese,https://img.freepik.com/free-photo/top-view-appetizing-pozole-bowl_23-2149248480.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
42,Lebanese,https://img.freepik.com/free-photo/meat-lahmajun-parsley-lemon-sumakh-top-view_140725-11304.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
43,Lebanese,https://img.freepik.com/free-photo/chicken-wrap-doner-with-tomato_140725-10509.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
44,Lebanese,https://img.freepik.com/free-photo/breakfast-set-eggs-tomato-butter-honey-pot-tea-side-view_141793-1749.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
45,Lebanese,https://img.freepik.com/premium-photo/falafel-hummus-pita-middle-eastern-arabic-dishes-dark-table-halal-food-top-view-copy-space_2829-6180.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
46,Lebanese,https://img.freepik.com/free-photo/falafel-hummus-pita-middle-eastern-arabic-dishes-halal-food-top-view-banner_2829-14259.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
47,Lebanese,https://img.freepik.com/free-photo/tortilla-wrap-with-falafel-vegetables-black-stone-background_123827-20236.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
48,Lebanese,https://img.freepik.com/premium-photo/mediterranean-appetizer-concept-arabic-traditional-cuisine-middle-eastern-meze-with-pita-olives-hummus-stuffed-dolma-falafel-balls-pickles-babaganush-vegetables-pomegranate-eggplants_769609-2958.jpg?size=626&ext=jpg&ga=GA1.2.766743764.1682926562&semt=ais
